28,47,89,657
27,46,90,656
28,48,90,657
25,42,79,655
20,30,52,653
16,26,46,652
13,23,42,651
28,47,91,657
24,42,89,656
20,36,82,654
16,28,69,653
23,40,88,656
25,42,79,655
22,38,87,655
23,38,89,656
23,37,88,656
24,40,90,656
23,41,84,655
21,39,75,654
13,22,62,652
14,20,58,652
17,30,64,653
16,27,67,653
21,36,78,655
27,46,92,657
26,44,90,656
28,46,89,656
26,45,89,656
26,45,88,656
28,47,90,657
27,45,86,656
27,45,88,656
25,41,76,655
27,43,78,656
26,41,76,655
27,43,78,656
26,43,79,656
26,41,76,655
25,39,72,655
25,39,74,655
27,41,74,656
24,39,73,655
24,39,75,655
22,38,74,654
25,40,76,655
24,40,76,655
25,41,77,655
26,42,80,656
24,41,81,655
27,44,85,656
28,46,88,657
30,45,88,657
27,44,87,656
28,46,87,656
25,45,87,656
28,46,87,656
29,46,88,658
25,44,86,655
25,44,90,654
27,47,92,657
29,46,91,658
30,46,89,657
28,46,90,656
26,44,90,656
26,45,91,655
26,45,90,656
27,46,91,657
28,47,90,657
26,45,90,656
26,45,91,656
29,47,92,657
28,47,92,657
25,43,89,656
23,40,85,656
22,39,87,655
26,44,91,657
25,43,92,656
25,43,86,657
20,33,58,654
16,26,48,652
17,27,48,652
18,28,50,652
16,26,50,652
18,30,52,653
16,27,49,652
16,27,51,652
