74,46,99,660
73,46,100,660
71,39,81,658
52,28,54,656
24,14,38,650
57,30,63,655
72,44,96,658
59,38,91,658
74,46,98,660
45,26,69,655
75,45,96,660
57,36,84,657
61,38,80,657
57,36,78,657
40,24,67,654
43,26,79,654
52,31,86,656
67,43,96,659
75,45,94,659
76,47,96,660
77,46,94,660
76,46,94,660
77,47,95,659
76,47,94,661
75,45,95,659
75,45,96,659
76,45,94,658
74,45,94,660
74,44,94,659
76,47,97,660
70,45,98,659
70,44,97,659
70,43,97,657
72,44,97,658
73,46,99,661
72,46,98,658
73,46,97,661
72,46,99,659
73,46,98,663
71,44,97,658
70,44,96,658
72,44,97,662
75,46,98,660
75,47,99,660
74,46,99,660
74,45,96,659
74,45,95,659
75,45,96,659
75,46,98,659
